No.,Time,Source,Destination,Protocol,Length,CID,Payload,Info
3805,14:32.3,localhost (),remote (),L2CAP,668,Dynamically Allocated Channel,80600a4e00ca164d0000000047fc0000,Sent Connection oriented channel
3806,14:32.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
3807,14:32.3,localhost (),remote (),L2CAP,615,Dynamically Allocated Channel,80600a4f00ca16610000000047fc0000,Sent Connection oriented channel
3808,14:32.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
3809,14:32.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
3810,14:32.3,localhost (),remote (),L2CAP,650,Dynamically Allocated Channel,80600a5000ca167f0000000047fc0000,Sent Connection oriented channel
3811,14:32.3,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
3812,14:32.3,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
3813,14:32.3,controller,host,HCI_EVT,,,,Rcvd LE Meta (LE Advertising Report)
3814,14:32.3,localhost (),remote (),L2CAP,624,Dynamically Allocated Channel,80600a5100ca16920000000047fc0000,Sent Connection oriented channel
3815,14:32.3,localhost (),remote (),L2CAP,666,Dynamically Allocated Channel,80600a5200ca16a60000000047fc0000,Sent Connection oriented channel
3816,14:32.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
3817,14:32.4,localhost (),remote (),L2CAP,658,Dynamically Allocated Channel,80600a5300ca16c40000000047fc0000,Sent Connection oriented channel
3818,14:32.4,controller,host,HCI_EVT,,,,Rcvd Number of Completed Packets
